model_name,release_year,theme,subtheme,total_pieces,total_mini_figures,availability
Crystal Hawk,2008,Space,Mars Mission,26,1,Retail
Street Cleaner,2008,City,Construction,22,1,Retail
Coast Guard Kayak,2008,City,Coast Guard,21,1,Retail
Doors and Windows,2008,Bricks and More,,100,NA,Retail
Wheels and Tyres,2008,Bricks and More,,106,NA,Retail
Roof Tiles,2008,Bricks and More,,150,NA,Retail
Basic Bricks Deluxe,2008,Duplo,,80,NA,Not specified
Basic Bricks Deluxe,2008,Bricks and More,,650,NA,Retail
MY LEGO Duplo Town,2008,Duplo,,79,1,Not specified
Build Your Own Harbor,2008,Bricks and More,,252,1,Retail
Road Construction Set,2008,Bricks and More,,300,1,Retail
Tower Raid,2008,Castle,Fantasy Era,364,5,Not specified
Troll Assault Wagon,2008,Castle,Fantasy Era,161,4,Not specified
Dwarves' Mine Defender,2008,Castle,Fantasy Era,86,3,Not specified
Troll Battle Wheel,2008,Castle,Fantasy Era,508,6,Not specified
Troll Warship,2008,Castle,Fantasy Era,493,9,Not specified
Playful Puppy,2008,Belville,,83,NA,Not specified
Horse Stable,2008,Belville,,209,1,Not specified
Sunshine Home,2008,Belville,,450,3,Not specified
Horse Jumping,2008,Belville,,54,1,Not specified
Indiana Jones Motorcycle Chase,2008,Indiana Jones,Last Crusade,79,3,Retail
Indiana Jones and the Lost Tomb,2008,Indiana Jones,Raiders of the Lost Ark,277,3,Retail
Race for the Stolen Treasure,2008,Indiana Jones,Raiders of the Lost Ark,272,4,Retail
Temple Escape,2008,Indiana Jones,Raiders of the Lost Ark,554,6,Retail
Jungle Duel,2008,Indiana Jones,Kingdom of the Crystal Skull,90,3,Retail
River Chase,2008,Indiana Jones,Kingdom of the Crystal Skull,234,4,Retail
Jungle Cutter,2008,Indiana Jones,Kingdom of the Crystal Skull,511,4,Retail
Temple of the Crystal Skull,2008,Indiana Jones,Kingdom of the Crystal Skull,929,10,Retail
Peril in Peru,2008,Indiana Jones,Kingdom of the Crystal Skull,625,6,Retail
MX-81 Hypersonic Operations Aircraft,2008,Space,Mars Mission,795,5,Retail
MT-61 Crystal Reaper,2008,Space,Mars Mission,600,6,Retail
ETX Alien Infiltraitor,2008,Space,Mars Mission,333,4,Retail
MX-41 Switch Fighter,2008,Space,Mars Mission,235,2,Retail
MT-21 Mobile Mining Unit,2008,Space,Mars Mission,130,2,Retail
MT-201 Ultra-Drill Walker,2008,Space,Mars Mission,759,3,Retail
Imperial Dropship,2008,Star Wars,Expanded Universe,81,4,Not specified
Rebel Scout Speeder,2008,Star Wars,Expanded Universe,82,4,Not specified
Anakin's Jedi Starfighter,2008,Star Wars,The Clone Wars,153,2,Not specified
Hailfire Droid & Spider Droid,2008,Star Wars,The Clone Wars,249,4,Not specified
AT-AP Walker,2008,Star Wars,Episode III,392,2,Not specified
Rogue Shadow,2008,Star Wars,Expanded Universe,482,3,Not specified
MagnaGuard Starfighter,2008,Star Wars,The Clone Wars,431,2,Not specified
V-19 Torrent,2008,Star Wars,The Clone Wars,471,1,Not specified
AT-TE Walker,2008,Star Wars,The Clone Wars,798,6,Not specified
Republic Attack Gunship,2008,Star Wars,The Clone Wars,1034,7,Not specified
Droid Gunship,2008,Star Wars,The Clone Wars,329,3,Retail
Republic Fighter Tank,2008,Star Wars,The Clone Wars,592,2,Not specified
The Twilight,2008,Star Wars,The Clone Wars,882,4,Not specified
Separatist Spider Droid,2008,Star Wars,The Clone Wars,206,5,Not specified
Police Pontoon Plane,2008,City,Police,215,1,Retail
City Advent Calendar,2008,City,Seasonal,196,10,Retail - limited
Coast Guard Truck with Speed Boat,2008,City,Coast Guard,361,2,Retail
Mail Van,2008,City,Cargo,66,1,Retail
Air Mail,2008,City,Cargo,88,1,Retail
Truck & Forklift,2008,City,Cargo,343,2,Retail
Cargo Plane,2008,City,Cargo,463,3,Retail
Coast Guard Quad Bike,2008,City,Coast Guard,33,1,Retail
Coast Guard 4WD & Jet Scooter,2008,City,Coast Guard,130,1,Retail
Coast Guard Helicopter & Life Raft,2008,City,Coast Guard,445,4,Retail
Coast Guard Patrol Boat & Tower,2008,City,Coast Guard,444,4,Retail
Police Helicopter,2008,City,Police,94,1,Retail
Police Command Centre,2008,City,Police,524,4,Retail
Police Headquarters,2008,City,Police,953,7,Retail
Batman's Buggy: The Escape of Mr. Freeze,2008,Batman,,76,2,Retail
Robin's Scuba Jet: Attack of The Penguin,2008,Batman,,207,2,Retail
The Batcycle: Harley Quinn's Hammer Truck,2008,Batman,,267,2,Retail
The Tumbler: Joker's Ice Cream Surprise,2008,Batman,,449,3,Retail
Castle Advent Calendar,2008,Castle,Seasonal,176,9,Retail - limited
Mini TIE-Fighter,2008,Star Wars,Mini Building Set,44,NA,Promotional
V-19 Torrent,2008,Star Wars,Mini Building Set,66,NA,Promotional
River Dragon,2008,Exo-Force,Deep Jungle,112,1,Not specified
Arachnoid Stalker,2008,Exo-Force,Deep Jungle,131,1,Not specified
Assault Tiger,2008,Exo-Force,Deep Jungle,163,1,Not specified
Chameleon Hunter,2008,Exo-Force,Deep Jungle,188,1,Not specified
Dark Panther,2008,Exo-Force,Deep Jungle,244,3,Not specified
Storm Lasher,2008,Exo-Force,Deep Jungle,283,1,Not specified
Hybrid Rescue Tank,2008,Exo-Force,Deep Jungle,347,2,Not specified
EZ-Roadster,2008,Racers,Tiny Turbos,45,NA,Retail
Midnight Streak,2008,Racers,Tiny Turbos,43,NA,Retail
ZX Turbo,2008,Racers,Tiny Turbos,55,NA,Retail
Adrift Sport,2008,Racers,Tiny Turbos,52,NA,Retail
Speed Chasing,2008,Racers,Tiny Turbos,142,NA,Retail
Ferrari F1 Truck,2008,Racers,Tiny Turbos,270,NA,Retail
Brick Street Customs,2008,Racers,Tiny Turbos,1021,NA,Retail
Ferrari F1 Pit,2008,Racers,Tiny Turbos,482,NA,Retail
Ferrari FXX 1:17,2008,Racers,Ferrari,626,NA,Retail
Ferrari F1 1:9,2008,Racers,Ferrari,997,NA,Retail
Speed Racer & Snake Oiler,2008,Racers,Speed Racer,242,2,Retail
Racer X & Taejo Togokhan,2008,Racers,Speed Racer,237,2,Retail
Cruncher Block & Racer X,2008,Racers,Speed Racer,367,4,Retail
Grand Prix Race,2008,Racers,Speed Racer,595,7,Retail
Mini Forklift,2008,Technic,,89,NA,Retail
Dirt Bike,2008,Technic,,248,NA,Retail
Cherry Picker,2008,Technic,,726,NA,Retail
Motor Set,2008,Power Functions,Technic,10,NA,Retail
Excavator,2008,Technic,,720,NA,Retail
Telescopic Handler,2008,Technic,,1182,NA,Retail
Dune Buggy,2008,Technic,,199,NA,Retail
Off-Roader,2008,Technic,,1097,NA,Retail
Desert Hopper,2008,Racers,Power Racers,92,NA,Retail
Ram Rod,2008,Racers,Power Racers,72,NA,Retail
Mud Hopper,2008,Racers,Power Racers,59,NA,Retail
Red Ace,2008,Racers,Power Racers,82,NA,Retail
Ring of Fire,2008,Racers,Power Racers,268,NA,Retail
Crosstown Craze,2008,Racers,Tiny Turbos,503,NA,Retail
Desert Hammer,2008,Racers,Power Racers,510,NA,Retail
Knights Battle Pack,2008,Castle,Battle Pack,35,5,Not specified
Skeletons Battle Pack,2008,Castle,Battle Pack,43,5,Not specified
Vintage Minifigure Collection Vol. 1,2008,Miscellaneous,Minifigure collection,21,5,LEGO exclusive
Gold Hunt,2008,Agents,,352,3,Retail
Jetpack Pursuit,2008,Agents,,88,2,Retail
Swamp Raid,2008,Agents,,231,2,Retail
Speedboat Rescue,2008,Agents,,340,3,Retail
Turbocar Chase,2008,Agents,,498,3,Retail
Mobile Command Center,2008,Agents,,1154,7,Retail
Deep Sea Quest,2008,Agents,,520,4,Retail
Volcano Base,2008,Agents,,718,6,Retail
Toa Kopaka,2008,Bionicle,Phantoka,54,NA,Not specified
Toa Lewa,2008,Bionicle,Phantoka,52,NA,Not specified
Toa Pohatu,2008,Bionicle,Phantoka,68,NA,Not specified
Toa Gali,2008,Bionicle,Mistika,60,NA,Not specified
Toa Tahu,2008,Bionicle,Mistika,73,NA,Not specified
Toa Onua,2008,Bionicle,Mistika,62,NA,Not specified
Antroz,2008,Bionicle,Phantoka,53,NA,Not specified
Vamprah,2008,Bionicle,Phantoka,49,NA,Not specified
Chirox,2008,Bionicle,Phantoka,49,NA,Not specified
Krika,2008,Bionicle,Mistika,40,NA,Not specified
Gorast,2008,Bionicle,Mistika,51,NA,Not specified
Bitil,2008,Bionicle,Mistika,54,NA,Not specified
Toa Ignika,2008,Bionicle,Warriors,140,NA,Not specified
Vultraz,2008,Bionicle,Warriors,133,NA,Not specified
Takanuva,2008,Bionicle,Warriors,267,NA,Not specified
Battery Box,2008,Power Functions,Accessories,1,NA,LEGO exclusive
XL-Motor,2008,Power Functions,Accessories,1,NA,LEGO exclusive
M-Motor,2008,Power Functions,Accessories,1,NA,Not specified
IR Receiver,2008,Power Functions,Accessories,1,NA,LEGO exclusive
IR Remote Control,2008,Power Functions,Accessories,1,NA,Not specified
Extension Cable (20cm),2008,Power Functions,Accessories,1,NA,LEGO exclusive
Rockoh T3,2008,Bionicle,Battle Vehicles,390,NA,Not specified
Jetrax T6,2008,Bionicle,Battle Vehicles,422,NA,Not specified
Jetrax T6,2008,Bionicle,Battle Vehicles,422,NA,Not specified
Axalara T9,2008,Bionicle,Battle Vehicles,693,NA,Not specified
Tanma,2008,Bionicle,Matoran,14,NA,Not specified
Solek,2008,Bionicle,Matoran,14,NA,Not specified
Photok,2008,Bionicle,Matoran,14,NA,Not specified
Radiak,2008,Bionicle,Matoran,16,NA,Not specified
Gavla,2008,Bionicle,Matoran,14,NA,Not specified
Kirop,2008,Bionicle,Matoran,14,NA,Not specified
Mutran and Vican,2008,Bionicle,Warriors,90,NA,Not specified
Makuta Icarax,2008,Bionicle,Warriors,159,NA,Not specified
Mazeka,2008,Bionicle,Vehicles/Creatures,301,NA,Not specified
Tubes Experiment Set,2008,Education,Duplo,147,4,Not specified
Dolls Family Set,2008,Education,,87,NA,Not specified
Pneumatics Add-On Set,2008,Education,,31,NA,Not specified
Education Resource Set,2008,Education,,672,NA,Not specified
Early Simple Machines Set,2008,Education,Duplo,102,NA,Not specified
{Cactus},2008,Promotional,LEGO brand store opening set,58,NA,LEGO exclusive
Clone Wars (SDCC 2008 exclusive),2008,Star Wars,Miscellaneous,351,5,Promotional
BrickMaster (SDCC 2008 exclusive),2008,Indiana Jones,Kingdom of the Crystal Skull,83,2,Promotional
{Space Shuttle},2008,Promotional,LEGO brand store opening set,65,NA,LEGO exclusive
{Liberty Bell},2008,Promotional,LEGO brand store opening set,66,NA,LEGO exclusive
Snowman,2008,Promotional,Monthly Mini Model Build,NA,NA,LEGO exclusive
RF ID Sensor,2008,Mindstorms,NXT,3,NA,Not specified
Keyfob Transponder,2008,Mindstorms,NXT,10,NA,Not specified
Han Solo / Indiana Jones Transformation ,2008,Star Wars,Miscellaneous,NA,2,Promotional
Steam Engine,2008,Promotional,LEGO brand store opening set,78,NA,LEGO exclusive
Motorised Walking AT-AT,2007,Star Wars,Episode IV-VI,1137,4,Not specified
Ultimate Collector's Millennium Falcon,2007,Star Wars,Ultimate Collector Series,5195,5,Not specified
Eiffel Tower ,2007,Advanced Models,Buildings,3428,NA,LEGO exclusive
Cafe Corner,2007,Advanced Models,Modular Buildings,2056,3,LEGO exclusive
Hobby Trains,2007,Factory,Trains,1080,NA,LEGO exclusive
Market Street,2007,Factory,Modular Buildings,1248,3,LEGO exclusive
Packer,2007,Duplo,Bob the Builder,19,1,Not specified
Muck & Roley in the Sunflower Factory,2007,Duplo,Bob the Builder,37,1,Not specified
Salty the Dockyard Diesel,2007,Duplo,Thomas the Tank Engine,8,NA,Retail
Spencer and Sir Topham Hatt,2007,Duplo,Thomas the Tank Engine,45,1,Retail
Gordon's Express,2007,Duplo,Thomas the Tank Engine,13,NA,Retail
Gold chrome plated C-3PO,2007,Star Wars,Minifig Pack,1,1,Promotional
Mindstorms NXT CD,2007,Mindstorms,NXT,1,NA,Not specified
Princess and Horse,2007,Duplo,Princess Castle,8,1,Not specified
Princess and Pony Picnic,2007,Duplo,Princess Castle,19,1,Not specified
Princess Royal Stables,2007,Duplo,Princess Castle,49,2,Not specified
Police Boat,2007,Duplo,LEGO Ville,27,3,Not specified
Mini Construction,2007,Creator,,68,NA,Retail
Mini Animals,2007,Creator,,77,NA,Retail
Mini Robots,2007,Creator,,77,NA,Retail
Mini Flyers,2007,Creator,,78,NA,Retail
Doc & Patient,2007,City,Medical,18,2,Retail - limited
Cool Cars,2007,Creator,,206,NA,Retail
Fast Flyers,2007,Creator,,312,NA,Retail
Model Town House,2007,Creator,,1174,NA,Retail
Big Rig,2007,Creator,,550,NA,Retail
House,2007,Creator,,731,NA,Retail
Ferris Wheel,2007,Creator,,1063,NA,Retail
Monster Dino,2007,Creator,,792,NA,Retail
Animals,2007,Duplo,LEGO Ville,13,1,Not specified
Harvester,2007,Duplo,LEGO Ville,11,1,Not specified
Horse Stables,2007,Duplo,LEGO Ville,36,2,Not specified
Farm,2007,Duplo,LEGO Ville,42,2,Not specified
Cement Mixer,2007,Duplo,LEGO Ville,11,1,Not specified
Fire Truck,2007,Duplo,LEGO Ville,26,2,Not specified
Road Sweeper,2007,Duplo,LEGO Ville,11,1,Not specified
Ambulance,2007,Duplo,LEGO Ville,6,1,Not specified
Chum Bucket,2007,SpongeBob SquarePants,,337,3,Retail
Mrs. Puff's Boating School,2007,SpongeBob SquarePants,,393,3,Retail
Digger,2007,Duplo,LEGO Ville,19,1,Not specified
Gravel Pit,2007,Duplo,LEGO Ville,40,2,Not specified
Construction Site,2007,Duplo,LEGO Ville,84,3,Retail
Hogwarts Castle,2007,Harry Potter,Order of the Phoenix,943,9,Retail
Duplo Large Brick Box,2007,Duplo,,71,1,Not specified
Duplo Brick Box,2007,Duplo,,33,NA,Not specified
Duplo Deluxe Brick Box,2007,Duplo,,95,1,Not specified
Build a Farm,2007,Duplo,,107,1,Not specified
Emergency Rescue Box,2007,Make and Create,,705,NA,Not specified
Fun Building with LEGO Bricks,2007,Make and Create,,240,NA,Not specified
Duplo Creative Building,2007,Duplo,,74,NA,Not specified
LEGO Creative Building,2007,Make and Create,,481,NA,Not specified
LEGO World of Bricks,2007,Make and Create,,1004,NA,Not specified
LEGO Creator 200 Plus 40 Special Elements,2007,Make and Create,,242,NA,Not specified
LEGO Brick Box,2007,Make and Create,,221,NA,Not specified
Building Fun with LEGO,2007,Creator,Mosaic,286,NA,Retail
A World of LEGO Mosaic,2007,Creator,Mosaic,598,NA,Retail
LEGO Rescue Building Set,2007,Make and Create,,520,1,Not specified
LEGO Large Brick Box,2007,Make and Create,,405,1,Not specified
LEGO Deluxe Brick Box,2007,Make and Create,,701,2,Not specified
City Essential Vehicles Collection,2007,City,Product Collection,526,NA,Not specified
Mr. Magorium's Wonder Emporium,2007,Creator,Product Collection,323,NA,Retail - limited
The Final Joust,2007,Castle,Fantasy Era,62,2,Not specified
Skeleton Ship Attack,2007,Castle,Fantasy Era,628,7,Not specified
Dwarves' Mine,2007,Castle,Fantasy Era,575,7,Not specified
Crossbow Attack,2007,Castle,Fantasy Era,54,3,Not specified
Knight's Catapult Defense,2007,Castle,Fantasy Era,123,4,Not specified
Skeletons' Prison Carriage,2007,Castle,Fantasy Era,193,5,Not specified
Skeleton Tower,2007,Castle,Fantasy Era,398,5,Not specified
King's Castle Siege,2007,Castle,Fantasy Era,973,10,Not specified
The Skating Princess,2007,Belville,Fairytales,26,1,Not specified
Winter Royal Stables,2007,Belville,Fairytales,86,2,Not specified
Royal Summer Palace,2007,Belville,Fairytales,167,3,Not specified
Advent Calendar,2007,Belville,Seasonal,215,NA,Not specified
Droids Battle Pack,2007,Star Wars,Episode III,102,7,Not specified
Clone Troopers Battle Pack,2007,Star Wars,Episode III,58,4,Not specified
General Grievous Starfighter,2007,Star Wars,Episode III,232,1,Not specified
AT-ST,2007,Star Wars,Episode IV-VI,244,1,Not specified
Y-wing Fighter,2007,Star Wars,Episode IV-VI,454,2,Not specified
Imperial Landing Craft,2007,Star Wars,Episode IV-VI,471,5,Not specified
Naboo N-1 Starfighter with Vulture Droid,2007,Star Wars,Episode I,280,3,Not specified
Jedi Starfighter with Hyperdrive Booster Ring,2007,Star Wars,Episode III,575,2,Not specified
Trade Federation MTT,2007,Star Wars,Episode I,1330,21,Not specified
Sith Infiltrator,2007,Star Wars,Episode I,310,1,Not specified
TIE Crawler,2007,Star Wars,Expanded Universe,548,2,Not specified
Republic Cruiser,2007,Star Wars,Episode I,919,5,Not specified
Hoth Rebel Base,2007,Star Wars,Episode IV-VI,548,8,Not specified
MB-01 Eagle Command Base,2007,Space,Mars Mission,760,8,Retail
ETX Alien Mothership Assault ,2007,Space,Mars Mission,434,7,Retail
MX-71 Recon Dropship ,2007,Space,Mars Mission,435,6,Retail
ETX Alien Strike,2007,Space,Mars Mission,246,3,Retail
MT-31 Trike ,2007,Space,Mars Mission,95,2,Retail
MX-11 Astro Fighter ,2007,Space,Mars Mission,57,2,Retail
MT-51 Claw-Tank Ambush,2007,Space,Mars Mission,374,3,Retail
MT-101 Armoured Drilling Unit,2007,Space,Mars Mission,635,5,Retail
Golden Guardian,2007,Exo-Force,Golden City,267,1,Not specified
Combat Crawler X2,2007,Exo-Force,Golden City,581,3,Not specified
Deep Sea Treasure Hunter,2007,Aqua Raiders,,75,1,Retail
Angler Ambush,2007,Aqua Raiders,,130,2,Retail
Lobster Strike,2007,Aqua Raiders,,223,2,Retail
Tiger Shark Attack,2007,Aqua Raiders,,339,2,Retail
Crab Crusher,2007,Aqua Raiders,,590,3,Retail
Aquabase Invasion,2007,Aqua Raiders,,840,5,Retail
The Shipwreck,2007,Aqua Raiders,,241,3,Retail
The Batcopter: The Chase for Scarecrow,2007,Batman,,293,2,Retail
The Bat-Tank: The Riddler and Bane's Hideout,2007,Batman,,645,3,Retail
Cement Truck,2007,Creator,,44,NA,Unknown
Fireboat,2007,City,Fire,187,3,Retail
City Advent Calendar,2007,City,Seasonal,232,8,Retail - limited
Off-Road Fire Rescue,2007,City,Fire,131,1,Retail
Fire Hovercraft,2007,City,Fire,274,3,Retail
Fire Station,2007,City,Fire,600,4,Retail
Cement Mixer,2007,City,Traffic,213,1,Retail
Recycle Truck,2007,City,Traffic,206,1,Retail
Container Stacker,2007,City,Harbour,218,1,Retail
Service Station,2007,City,Traffic,402,3,Retail
LEGO City Harbour,2007,City,Harbour,659,5,Retail
Train Rail Crossing,2007,City,Trains,4,NA,Retail
Train Station,2007,City,Trains,387,5,Retail
Heavy Hauler,2007,City,Traffic,332,1,Retail
Cyclone Defender,2007,Exo-Force,Golden City,92,1,Not specified
Claw Crusher,2007,Exo-Force,Golden City,99,1,Not specified
Blade Titan,2007,Exo-Force,Golden City,162,1,Not specified
Sky Guardian,2007,Exo-Force,Golden City,144,1,Not specified
Shadow Crawler,2007,Exo-Force,Golden City,161,2,Not specified
Iron Condor,2007,Exo-Force,Golden City,141,1,Not specified
Aero Booster,2007,Exo-Force,Golden City,312,1,Not specified
Fight for the Golden Tower,2007,Exo-Force,Golden City,571,2,Not specified
Mobile Devastator,2007,Exo-Force,Golden City,1009,13,Not specified
Terrain Crusher,2007,Racers,Tiny Turbos,44,NA,Retail
Raceway Rider,2007,Racers,Tiny Turbos,51,NA,Retail
Night Driver,2007,Racers,Tiny Turbos,41,NA,Retail
Rally Rider,2007,Racers,Tiny Turbos,51,NA,Retail
Night Crusher,2007,Racers,Tiny Turbos,265,NA,Retail
Bridge Chase,2007,Racers,Tiny Turbos,542,NA,Retail
Fire Crusher,2007,Racers,Power Racers,65,NA,Retail
Booster Beast,2007,Racers,Power Racers,70,NA,Retail
Phantom Crasher,2007,Racers,Power Racers,85,NA,Retail
Night Blazer,2007,Racers,Power Racers,66,NA,Retail
Tow Trasher,2007,Racers,Power Racers,182,NA,Retail
Off-Road Power,2007,Racers,Power Racers,201,NA,Retail
Ferrari 248 F1 1:24,2007,Racers,Ferrari,167,NA,Retail
Ferrari F430 Challenge 1:17,2007,Racers,Ferrari,690,NA,Retail
Ferrari 248 F1 Team (Michael Schumacher Edition),2007,Racers,Ferrari,726,8,Retail
Ferrari 599 GTB Fiorano 1:10,2007,Racers,Ferrari,1327,NA,Retail
Nitro Muscle,2007,Racers,Power Racers,598,NA,Retail
Bullet Run,2007,Racers,Tiny Turbos,796,NA,Retail
Rough Terrain Crane,2007,Technic,,106,NA,Retail
Wheel Loader,2007,Technic,,200,NA,Retail
Snowmobile,2007,Technic,,331,NA,Retail
Off Road Truck,2007,Technic,,805,NA,Retail
Combine Harvester,2007,Technic,,1025,NA,Retail
Motorized Bulldozer,2007,Technic,,1384,NA,Retail
Toa Kongu,2007,Bionicle,Toa Mahri,74,NA,Not specified
Toa Jaller,2007,Bionicle,Toa Mahri,68,NA,Not specified
Toa Hewkii,2007,Bionicle,Toa Mahri,62,NA,Not specified
Toa Nuparu,2007,Bionicle,Toa Mahri,59,NA,Not specified
Toa Hahli,2007,Bionicle,Toa Mahri,59,NA,Not specified
Toa Matoro,2007,Bionicle,Toa Mahri,63,NA,Not specified
Takadox,2007,Bionicle,Barraki,62,NA,Not specified
Kalmah,2007,Bionicle,Barraki,53,NA,Not specified
Carapar,2007,Bionicle,Barraki,50,NA,Not specified
Mantax,2007,Bionicle,Barraki,58,NA,Not specified
Ehlek,2007,Bionicle,Barraki,54,NA,Not specified
Pridak,2007,Bionicle,Barraki,47,NA,Not specified
Gadunka,2007,Bionicle,Warriors,176,NA,Not specified
Hydraxon,2007,Bionicle,Warriors,165,NA,Not specified
Maxilos and Spinax,2007,Bionicle,Warriors,256,NA,Not specified
Barraki Deepsea Patrol ,2007,Bionicle,Playsets,228,4,Not specified
Toa Undersea Attack ,2007,Bionicle,Playsets,401,6,Not specified
Toa Terrain Crawler ,2007,Bionicle,Playsets,674,10,Not specified
Defilak,2007,Bionicle,Matoran,37,NA,Not specified
Dekar,2007,Bionicle,Matoran,37,NA,Not specified
Thulox,2007,Bionicle,Matoran,39,NA,Not specified
Morak,2007,Bionicle,Matoran,40,NA,Not specified
Squid Ammo,2007,Bionicle,Accessories,7,NA,Not specified
Nocturn,2007,Bionicle,Warriors,116,NA,Not specified
Lesovikk,2007,Bionicle,Warriors,149,NA,Not specified
Karzahni,2007,Bionicle,Warriors,373,NA,Not specified
World People Set,2007,Education,Duplo,16,16,Not specified
Wheels Set,2007,Education,,360,NA,Not specified
Mindstorms Education Base Set,2007,Education,,431,NA,Not specified
75th Anniversary LEGO Duck on Wheels,2007,Promotional,LEGO brand stores,44,NA,LEGO exclusive
Colour Sensor for Mindstorms NXT,2007,Mindstorms,NXT,1,NA,Not specified
Accelerometer Sensor for Mindstorms NXT,2007,Mindstorms,NXT,1,NA,Not specified
Infrared Seeker,2007,Mindstorms,NXT,1,NA,Not specified
Gyroscopic Sensor,2007,Mindstorms,NXT,1,NA,Not specified
Infrared Link Sensor,2007,Mindstorms,NXT,1,NA,Not specified
LEGO Snowflake,2006,Seasonal,Christmas,105,NA,LEGO exclusive
Holiday Train,2006,Trains,9 V,965,7,Retail - limited
Imperial AT-ST,2006,Star Wars,Ultimate Collector Series,1068,NA,Not specified
Vader's TIE Advanced,2006,Star Wars,Ultimate Collector Series,1212,NA,Retail - limited
King's Castle,2006,Castle,Knights' Kingdom I,869,12,LEGO exclusive
Boeing 787 Dreamliner,2006,Advanced Models,Aircraft,1197,NA,Retail - limited
Vezon & Kardas,2006,Bionicle,Warriors,670,NA,Not specified
9V Train Track Starter Collection,2006,Trains,9 V,24,NA,LEGO exclusive
Large Red Building Plate,2006,Duplo,,1,NA,Not specified
Anniversary Bucket,2006,Duplo,,103,NA,Not specified
"Yellow Half-Tub, Special Edition",2006,Duplo,,103,NA,Not specified
Lift and Load Sumsy,2006,Duplo,Bob the Builder,12,NA,Not specified
Scrambler and Dizzy at Bob's Workshop,2006,Duplo,Bob the Builder,50,1,Not specified
Harold the Helicopter,2006,Duplo,Thomas the Tank Engine,7,NA,Retail
Cranky-Loading Crane,2006,Duplo,Thomas the Tank Engine,34,NA,Retail
Grand Soccer Stadium,2006,Sports,Football,386,14,Retail
Street Soccer,2006,Sports,Football,199,4,Retail
Krusty Krab,2006,SpongeBob SquarePants,,295,3,Retail
Build-A-Bob,2006,SpongeBob SquarePants,,445,1,Retail
Adventures in Bikini Bottom,2006,SpongeBob SquarePants,,579,3,Retail
Air Temple,2006,Avatar The Last Airbender,,400,4,Retail
Fire Nation Ship,2006,Avatar The Last Airbender,,722,5,Retail
Duplo Bucket,2006,Duplo,,75,1,Not specified
Red Bucket,2006,Make and Create,,487,1,Not specified
9V Train Switching Track Collection,2006,Trains,9 V,27,NA,LEGO exclusive
Auto Pod,2006,Creator,X-Pod,56,NA,Retail
Robo Pod,2006,Creator,X-Pod,65,NA,Retail
Aero Pod,2006,Creator,X-Pod,60,NA,Retail
Dino Pod,2006,Creator,X-Pod,55,NA,Retail
Fun With Building Tub,2006,Make and Create,,805,2,Not specified
Highway Haulers,2006,Creator,,209,NA,Retail
Prehistoric Power,2006,Creator,,380,NA,Retail
Revvin' Riders,2006,Creator,,360,NA,Retail
Mythical Creatures,2006,Creator,,588,NA,Retail
Motion Power,2006,Creator,,611,NA,Retail
Roaring Roadsters,2006,Creator,,931,NA,Retail
Giant Zoo,2006,Duplo,LEGO Ville,126,5,Not specified
Fun Zoo,2006,Duplo,LEGO Ville,30,NA,Not specified
Baby Zoo,2006,Duplo,LEGO Ville,18,1,Not specified
Police Patrol,2006,Duplo,LEGO Ville,8,1,Not specified
Highway Help,2006,Duplo,LEGO Ville,26,2,Not specified
Police Action,2006,Duplo,LEGO Ville,65,4,Not specified
Doll's House,2006,Duplo,LEGO Ville,95,4,Not specified
Fire Helicopter,2006,Duplo,LEGO Ville,14,2,Not specified
Friendly Zoo,2006,Duplo,LEGO Ville,84,2,Not specified
Tractor Fun,2006,Duplo,LEGO Ville,4,1,Not specified
Zoo Vehicles,2006,Duplo,LEGO Ville,37,2,Not specified
My First Quatro Figure,2006,Quatro,,18,1,Not specified
Girls Fantasy Bucket,2006,Make and Create,,190,NA,Not specified
LEGO Classic House Building,2006,Make and Create,,233,NA,Retail
Duplo Town Building,2006,Duplo,,87,2,Not specified
Duplo Zoo,2006,Duplo,,128,2,Not specified
Ultimate House Building Set,2006,Make and Create,,674,NA,Not specified
Ready Steady Build & Race Set,2006,Make and Create,,692,NA,Not specified
XXL 2000,2006,Make and Create,,2000,NA,Not specified
White Good Guy,2006,Exo-Force,Original,22,1,Not specified
Anniversary Bucket,2006,Make and Create,,700,NA,Not specified
Special Edition Creative Building Tub,2006,Make and Create,,700,NA,Not specified
Street Race,2006,Racers,Tiny Turbos,198,NA,Retail
"LEGO World of Bricks - 1,000 Elements",2006,Make and Create,,1000,NA,Not specified
LEGO Creator 200 + 40 Special Elements,2006,Make and Create,,242,NA,Not specified
V-wing Fighter,2006,Star Wars,Episode III,118,1,Retail
TIE Interceptor,2006,Star Wars,Episode IV-VI,212,1,Retail
A-wing Fighter,2006,Star Wars,Episode IV-VI,194,2,Retail
B-wing Fighter,2006,Star Wars,Episode IV-VI,435,2,Retail
Slave I,2006,Star Wars,Episode IV-VI,537,4,Retail
Jabba's Sail Barge,2006,Star Wars,Episode IV-VI,781,8,Retail
Imperial Star Destroyer,2006,Star Wars,Episode IV-VI,1367,9,Not specified
X-wing Fighter,2006,Star Wars,Episode IV-VI,437,6,Retail
City Emergency Service Vehicles (Multipack),2006,City,Product Collection,618,NA,Not specified
City Airport Exclusive Pack,2006,City,Product Collection,1123,NA,Retail - limited
Ultimate Accessory Set,2006,Bionicle,Accessories,500,NA,Not specified
Ultimate Creatures Accessory Set,2006,Bionicle,Accessories,300,NA,Not specified
